Country Name,Country Code,Region,Year,Fertility Rate,Life Expectancy
Mozambique,MOZ,Africa,1960,6.6,35.00370732
Mauritania,MRT,Africa,1960,6.775,43.48309756
Mauritius,MUS,Africa,1960,6.167,58.74521951
Malawi,MWI,Africa,1960,6.94,37.77363415
Malaysia,MYS,Asia,1960,6.194,59.47534146
Namibia,NAM,Africa,1960,6.15,46.88039024
New Caledonia,NCL,Oceania,1960,6.278,58.63902439
Niger,NER,Africa,1960,7.407,35.51504878
Nigeria,NGA,Africa,1960,6.354,37.18295122
Nicaragua,NIC,The Americas,1960,7.336,46.99882927
Netherlands,NLD,Europe,1960,3.12,73.39268293
Norway,NOR,Europe,1960,2.85,73.5497561
Nepal,NPL,Asia,1960,5.959,35.17082927
New Zealand,NZL,Oceania,1960,4.129,71.23658537
Oman,OMN,Middle East,1960,7.247,42.66707317
Pakistan,PAK,Asia,1960,6.6,45.29046341
Panama,PAN,The Americas,1960,5.87,60.88170732
Peru,PER,The Americas,1960,6.971,47.69158537
Philippines,PHL,Asia,1960,7.148,57.81192683
Papua New Guinea,PNG,Oceania,1960,6.275,38.4622439
Poland,POL,Europe,1960,2.98,67.6804878
Puerto Rico,PRI,The Americas,1960,4.657,68.71960976
Portugal,PRT,Europe,1960,3.16,62.80892683
Paraguay,PRY,The Americas,1960,6.5,63.79370732
French Polynesia,PYF,Oceania,1960,5.658,56.35704878
Qatar,QAT,Middle East,1960,6.971,61.20607317
Romania,ROU,Europe,1960,2.34,65.64243902
Russian Federation,RUS,Europe,1960,2.52,66.05529268
Rwanda,RWA,Africa,1960,8.187,42.24929268
Saudi Arabia,SAU,Middle East,1960,7.216,45.66626829
Sudan,SDN,Africa,1960,6.691,48.18763415
Senegal,SEN,Africa,1960,6.951,38.206
Singapore,SGP,Asia,1960,5.454,65.65982927
Solomon Islands,SLB,Oceania,1960,6.388,49.38170732
Sierra Leone,SLE,Africa,1960,5.97,30.33153659
El Salvador,SLV,The Americas,1960,6.674,49.94792683
Somalia,SOM,Africa,1960,7.25,36.96587805
South Sudan,SSD,Africa,1960,6.721,31.67670732
Sao Tome and Principe,STP,Africa,1960,6.242,50.45136585
Suriname,SUR,The Americas,1960,6.608,59.68012195
Slovak Republic,SVK,Europe,1960,3.04,69.97592683
Slovenia,SVN,Europe,1960,2.324,68.97804878
Sweden,SWE,Europe,1960,2.17,73.00560976
Swaziland,SWZ,Africa,1960,6.717,44.23378049
Syrian Arab Republic,SYR,Middle East,1960,7.467,52.7682439
Chad,TCD,Africa,1960,6.25,38.01612195
Togo,TGO,Africa,1960,6.521,40.27282927
Thailand,THA,Asia,1960,6.147,54.69931707
Tajikistan,TJK,Asia,1960,6.235,56.15353659
Turkmenistan,TKM,Asia,1960,6.415,54.45868293
Timor-Leste,TLS,Asia,1960,6.373,33.72712195
Tonga,TON,Oceania,1960,7.363,61.36453659
Trinidad and Tobago,TTO,The Americas,1960,5.264,62.65758537
Tunisia,TUN,Africa,1960,7.043,42.0097561
Turkey,TUR,Europe,1960,6.303,45.38441463
Tanzania,TZA,Africa,1960,6.806,43.65387805
Uganda,UGA,Africa,1960,6.999,43.98356098
Ukraine,UKR,Europe,1960,2.24,68.29953659
Uruguay,URY,The Americas,1960,2.88,67.89639024
United States,USA,The Americas,1960,3.654,69.77073171
Uzbekistan,UZB,Asia,1960,6.707,58.88553659
St. Vincent and the Grenadines,VCT,The Americas,1960,7.224,57.72387805
"Venezuela, RB",VEN,The Americas,1960,6.616,59.28512195
Virgin Islands (U.S.),VIR,The Americas,1960,5.615,63.73021951
Vietnam,VNM,Asia,1960,6.348,59.06702439
Vanuatu,VUT,Oceania,1960,7.197,46.4874878
Samoa,WSM,Oceania,1960,7.651,49.9695122
"Yemen, Rep.",YEM,Middle East,1960,7.38,34.36380488
South Africa,ZAF,Africa,1960,6.173,49.03629268
"Congo, Dem. Rep.",COD,Africa,1960,6.001,41.01804878
Zambia,ZMB,Africa,1960,7.018,45.10980488
Zimbabwe,ZWE,Africa,1960,7.158,51.54246341
Aruba,ABW,The Americas,2013,1.669,75.32865854
Afghanistan,AFG,Asia,2013,5.05,60.02826829
Angola,AGO,Africa,2013,6.165,51.86617073
Albania,ALB,Europe,2013,1.771,77.5372439
United Arab Emirates,ARE,Middle East,2013,1.801,77.19563415
